lookup	string	decode	unidecode
2	'&#0038;'	'&'	'&amp;'
2	'&#0147;'	'“'	'"'
2	'&#0148;'	'”'	'"'
1	'&#0149;'	'•'	'*'
1	'&#0151;'	'—'	'--'
1	'&#0163;'	'£'	'PS'
1	'&#0201;'	'É'	'E'
1	'&#0215;'	'×'	'x'
1	'&#0228;'	'ä'	'a'
2	'&#032;'	' '	' '
2	'&#034;'	'"'	'"'
2	'&#035;'	'#'	'#'
2	'&#037;'	'%'	'%'
2	'&#038;'	'&'	'&amp;'
2	'&#039;'	"'"	"'"
2	'&#040;'	'('	'('
2	'&#041;'	')'	')'
2	'&#042;'	'*'	'*'
2	'&#043;'	'+'	'+'
2	'&#044;'	','	','
2	'&#045;'	'-'	'-'
1	'&#0501;'	'ǵ'	'g'
1	'&#0503;'	'Ƿ'	'W'
2	'&#050;'	'2'	'2'
2	'&#052;'	'4'	'4'
2	'&#055;'	'7'	'7'
2	'&#060;'	'<'	'&lt;'
2	'&#061;'	'='	'='
2	'&#062;'	'>'	'&gt;'
2	'&#064;'	'@'	'@'
2	'&#065;'	'A'	'A'
2	'&#066;'	'B'	'B'
2	'&#068;'	'D'	'D'
2	'&#069;'	'E'	'E'
2	'&#082;'	'R'	'R'
2	'&#083;'	'S'	'S'
1	'&#08804;'	'≤'	'<='
1	'&#08805;'	'≥'	'>='
2	'&#091;'	'['	'['
2	'&#093;'	']'	']'
2	'&#094;'	'^'	'^'
2	'&#095;'	'_'	'_'
2	'&#096;'	'`'	'`'
2	'&#098;'	'b'	'b'
2	'&#0;'	'�'	''
1	'&#10003;'	'✓'	''
1	'&#1028;'	'Є'	'Ie'
2	'&#102;'	'f'	'f'
2	'&#1040;'	'А'	'A'
2	'&#1042;'	'В'	'V'
2	'&#1052;'	'М'	'M'
2	'&#1054;'	'О'	'O'
2	'&#1056;'	'Р'	'R'
2	'&#1057;'	'С'	'S'
2	'&#105;'	'i'	'i'
2	'&#1072;'	'а'	'a'
1	'&#1073;'	'б'	'b'
2	'&#1077;'	'е'	'e'
1	'&#1085;'	'н'	'n'
2	'&#1086;'	'о'	'o'
1	'&#1088;'	'р'	'r'
1	'&#1089;'	'с'	's'
2	'&#108;'	'l'	'l'
1	'&#1091;'	'у'	'u'
1	'&#1093;'	'х'	'kh'
2	'&#10;'	'\n'	'\n'
2	'&#110;'	'n'	'n'
2	'&#111;'	'o'	'o'
2	'&#113;'	'q'	'q'
2	'&#115;'	's'	's'
2	'&#116;'	't'	't'
2	'&#117;'	'u'	'u'
2	'&#118;'	'v'	'v'
2	'&#119;'	'w'	'w'
2	'&#11;'	''	''
2	'&#120;'	'x'	'x'
2	'&#12288;'	'\u3000'	' '
2	'&#12289;'	'、'	', '
2	'&#12298;'	'《'	'&lt;&lt;'
2	'&#12299;'	'》'	'&gt;&gt;'
2	'&#12356;'	'い'	'i'
1	'&#12418;'	'も'	'mo'
1	'&#12424;'	'よ'	'yo'
1	'&#12475;'	'セ'	'se'
2	'&#124;'	'|'	'|'
1	'&#12521;'	'ラ'	'ra'
2	'&#12540;'	'ー'	'-'
1	'&#1254;'	'Ӧ'	'O'
2	'&#125;'	'}'	'}'
2	'&#127;'	''	''
1	'&#128;'	'€'	'EUR'
2	'&#129;'	'\x81'	''
2	'&#130;'	'‚'	','
1	'&#131;'	'ƒ'	'f'
2	'&#132;'	'„'	',,'
2	'&#133;'	'…'	'...'
1	'&#134;'	'†'	'+'
1	'&#135;'	'‡'	'++'
2	'&#136;'	'ˆ'	'^'
1	'&#137;'	'‰'	'%0'
1	'&#138;'	'Š'	'S'
2	'&#139;'	'‹'	'&lt;'
2	'&#13;'	'\r'	'\n'
1	'&#140;'	'Œ'	'OE'
1	'&#142;'	'Ž'	'Z'
2	'&#143;'	'\x8f'	''
2	'&#144;'	'\x90'	''
2	'&#145;'	'‘'	"'"
2	'&#146;'	'’'	"'"
2	'&#147;'	'“'	'"'
2	'&#148;'	'”'	'"'
1	'&#149;'	'•'	'*'
1	'&#14;'	''	''
2	'&#150;'	'–'	'-'
2	'&#151;'	'—'	'-'
2	'&#152;'	'˜'	'~'
2	'&#153;'	'™'	'(tm)'
1	'&#154;'	'š'	's'
2	'&#155;'	'›'	'&gt;'
1	'&#156;'	'œ'	'oe'
2	'&#157;'	'\x9d'	''
1	'&#158;'	'ž'	'z'
1	'&#159;'	'Ÿ'	'Y'
1	'&#15;'	''	''
1	'&#1606;'	'ن'	'n'
2	'&#160;'	'\xa0'	' '
1	'&#161;'	'¡'	'!'
1	'&#162;'	'¢'	'C/'
1	'&#163;'	'£'	'PS'
1	'&#1649;'	'ٱ'	"'"
1	'&#164;'	'¤'	'$?'
1	'&#165;'	'¥'	'Y='
2	'&#166;'	'¦'	'|'
1	'&#167;'	'§'	'SS'
2	'&#168;'	'¨'	'"'
2	'&#169;'	'©'	'(c)'
1	'&#170;'	'ª'	'a'
2	'&#171;'	'«'	'&lt;&lt;'
1	'&#172;'	'¬'	'!'
2	'&#173;'	'\xad'	'-'
2	'&#174;'	'®'	'(r)'
2	'&#175;'	'¯'	'-'
1	'&#176;'	'°'	'deg'
1	'&#177;'	'±'	'+-'
1	'&#178;'	'²'	'2'
1	'&#179;'	'³'	'3'
2	'&#180;'	'´'	"'"
1	'&#181;'	'µ'	'u'
1	'&#182;'	'¶'	'P'
1	'&#183;'	'·'	'*'
2	'&#184;'	'¸'	','
1	'&#185;'	'¹'	'1'
1	'&#186;'	'º'	'o'
2	'&#187;'	'»'	'&gt;&gt;'
1	'&#188;'	'¼'	'1/4'
1	'&#189;'	'½'	'1/2'
1	'&#190;'	'¾'	'3/4'
1	'&#191;'	'¿'	'?'
1	'&#192;'	'À'	'A'
1	'&#193;'	'Á'	'A'
1	'&#194;'	'Â'	'A'
1	'&#195;'	'Ã'	'A'
1	'&#196;'	'Ä'	'A'
1	'&#197;'	'Å'	'A'
1	'&#198;'	'Æ'	'AE'
1	'&#19978;'	'上'	'Shang '
1	'&#199;'	'Ç'	'C'
1	'&#200;'	'È'	'E'
1	'&#20110;'	'于'	'Yu '
1	'&#20140;'	'京'	'Jing '
1	'&#20142;'	'亮'	'Liang '
1	'&#201;'	'É'	'E'
1	'&#20221;'	'份'	'Fen '
1	'&#202;'	'Ê'	'E'
1	'&#20399;'	'侯'	'Hou '
1	'&#20445;'	'保'	'Bao '
1	'&#204;'	'Ì'	'I'
1	'&#20538;'	'债'	'Zhai '
1	'&#205;'	'Í'	'I'
1	'&#206;'	'Î'	'I'
1	'&#207;'	'Ï'	'I'
1	'&#20822;'	'兖'	'Yan '
1	'&#20844;'	'公'	'Gong '
1	'&#20851;'	'关'	'Guan '
1	'&#208;'	'Ð'	'D'
1	'&#20975;'	'凯'	'Kai '
1	'&#209;'	'Ñ'	'N'
1	'&#21010;'	'划'	'Hua '
1	'&#21046;'	'制'	'Zhi '
1	'&#210;'	'Ò'	'O'
1	'&#211;'	'Ó'	'O'
1	'&#212;'	'Ô'	'O'
1	'&#213;'	'Õ'	'O'
1	'&#21496;'	'司'	'Si '
1	'&#214;'	'Ö'	'O'
1	'&#215;'	'×'	'x'
1	'&#21672;'	'咨'	'Zi '
1	'&#216;'	'Ø'	'O'
1	'&#217;'	'Ù'	'U'
1	'&#21839;'	'問'	'Wen '
1	'&#21892;'	'善'	'Shan '
1	'&#218;'	'Ú'	'U'
1	'&#219;'	'Û'	'U'
1	'&#220;'	'Ü'	'U'
1	'&#221;'	'Ý'	'Y'
1	'&#22269;'	'国'	'Guo '
1	'&#222;'	'Þ'	'Th'
1	'&#22323;'	'圳'	'Zhen '
1	'&#223;'	'ß'	'ss'
1	'&#224;'	'à'	'a'
1	'&#225;'	'á'	'a'
1	'&#22659;'	'境'	'Jing '
1	'&#226;'	'â'	'a'
1	'&#22791;'	'备'	'Bei '
1	'&#227;'	'ã'	'a'
1	'&#22806;'	'外'	'Wai '
1	'&#22869;'	'奕'	'Yi '
1	'&#228;'	'ä'	'a'
1	'&#229;'	'å'	'a'
1	'&#230;'	'æ'	'ae'
1	'&#231;'	'ç'	'c'
1	'&#232;'	'è'	'e'
1	'&#23391;'	'孟'	'Meng '
1	'&#233;'	'é'	'e'
1	'&#23425;'	'宁'	'Zhu '
1	'&#23436;'	'完'	'Wan '
1	'&#23478;'	'家'	'Jia '
1	'&#234;'	'ê'	'e'
1	'&#235;'	'ë'	'e'
1	'&#23616;'	'局'	'Ju '
1	'&#236;'	'ì'	'i'
1	'&#237;'	'í'	'i'
1	'&#238;'	'î'	'i'
1	'&#239;'	'ï'	'i'
1	'&#24030;'	'州'	'Zhou '
1	'&#24037;'	'工'	'Gong '
1	'&#240;'	'ð'	'd'
1	'&#24191;'	'广'	'Yan '
1	'&#24198;'	'庆'	'Qing '
1	'&#241;'	'ñ'	'n'
1	'&#24247;'	'康'	'Kang '
1	'&#242;'	'ò'	'o'
1	'&#24352;'	'张'	'Zhang '
1	'&#243;'	'ó'	'o'
1	'&#244;'	'ô'	'o'
1	'&#245;'	'õ'	'o'
1	'&#246;'	'ö'	'o'
1	'&#247;'	'÷'	'/'
1	'&#248;'	'ø'	'o'
1	'&#249;'	'ù'	'u'
1	'&#250;'	'ú'	'u'
1	'&#251;'	'û'	'u'
1	'&#25216;'	'技'	'Ji '
1	'&#252;'	'ü'	'u'
1	'&#253;'	'ý'	'y'
1	'&#254;'	'þ'	'th'
1	'&#255;'	'ÿ'	'y'
1	'&#256;'	'Ā'	'A'
1	'&#257;'	'ā'	'a'
1	'&#258;'	'Ă'	'A'
1	'&#259;'	'ă'	'a'
1	'&#25;'	''	''
1	'&#260;'	'Ą'	'A'
1	'&#261;'	'ą'	'a'
1	'&#26368;'	'最'	'Zui '
1	'&#26377;'	'有'	'You '
1	'&#263;'	'ć'	'c'
1	'&#26415;'	'术'	'Zhu '
1	'&#26426;'	'机'	'Ji '
1	'&#26472;'	'杨'	'Yang '
1	'&#26800;'	'械'	'Jie '
1	'&#268;'	'Č'	'C'
1	'&#269;'	'č'	'c'
1	'&#27056;'	'榰'	'Zhi '
1	'&#27154;'	'樒'	'Mi '
1	'&#271;'	'ď'	'd'
1	'&#274;'	'Ē'	'E'
1	'&#275;'	'ē'	'e'
1	'&#27719;'	'汇'	'Hui '
1	'&#27974;'	'浆'	'Jiang '
1	'&#27982;'	'济'	'Ji '
1	'&#279;'	'ė'	'e'
1	'&#28023;'	'海'	'Hai '
1	'&#28145;'	'深'	'Shen '
1	'&#28165;'	'清'	'Qing '
1	'&#281;'	'ę'	'e'
1	'&#283;'	'ě'	'e'
1	'&#28640;'	'濠'	'Hao '
1	'&#28646;'	'濦'	'Yin '
1	'&#287;'	'ğ'	'g'
1	'&#28814;'	'炎'	'Yan '
1	'&#29615;'	'环'	'Huan '
1	'&#29702;'	'理'	'Li '
1	'&#29762;'	'瑂'	'Mei '
1	'&#2;'	''	''
1	'&#30331;'	'登'	'Deng '
1	'&#30340;'	'的'	'De '
1	'&#304;'	'İ'	'I'
1	'&#305;'	'ı'	'i'
1	'&#30693;'	'知'	'Zhi '
1	'&#30;'	''	''
1	'&#31168;'	'秀'	'Xiu '
1	'&#31243;'	'程'	'Cheng '
1	'&#31649;'	'管'	'Guan '
1	'&#318;'	'ľ'	'l'
1	'&#322;'	'ł'	'l'
1	'&#32440;'	'纸'	'Zhi '
1	'&#324;'	'ń'	'n'
1	'&#327;'	'Ň'	'N'
1	'&#328;'	'ň'	'n'
1	'&#32929;'	'股'	'Gu '
1	'&#32;'	' '	' '
1	'&#333;'	'ō'	'o'
1	'&#33406;'	'艾'	'Ai '
1	'&#336;'	'Ő'	'O'
1	'&#33775;'	'華'	'Hua '
1	'&#337;'	'ő'	'o'
1	'&#339;'	'œ'	'oe'
1	'&#341;'	'ŕ'	'r'
1	'&#345;'	'ř'	'r'
1	'&#346;'	'Ś'	'S'
1	'&#347;'	'ś'	's'
2	'&#34;'	'"'	'"'
1	'&#350;'	'Ş'	'S'
1	'&#351;'	'ş'	's'
1	'&#35268;'	'规'	'Gui '
1	'&#352;'	'Š'	'S'
1	'&#353;'	'š'	's'
1	'&#355;'	'ţ'	't'
1	'&#35745;'	'计'	'Ji '
1	'&#35774;'	'设'	'She '
1	'&#357;'	'ť'	't'
1	'&#35810;'	'询'	'Xun '
1	'&#360;'	'Ũ'	'U'
1	'&#36731;'	'轻'	'Qing '
1	'&#36890;'	'通'	'Tong '
1	'&#368;'	'Ű'	'U'
1	'&#369;'	'ű'	'u'
2	'&#36;'	'$'	'$'
1	'&#376;'	'Ÿ'	'Y'
1	'&#379;'	'Ż'	'Z'
2	'&#37;'	'%'	'%'
1	'&#380;'	'ż'	'z'
1	'&#382;'	'ž'	'z'
1	'&#38382;'	'问'	'Wen '
1	'&#38480;'	'限'	'Xian '
2	'&#38;'	'&'	'&amp;'
1	'&#39015;'	'顧'	'Gu '
1	'&#39038;'	'顾'	'Gu '
1	'&#39064;'	'题'	'Ti '
1	'&#3913;'	'ཉ'	'ny'
2	'&#39;'	"'"	"'"
1	'&#402;'	'ƒ'	'f'
1	'&#4051;'	'࿓'	''
2	'&#40;'	'('	'('
2	'&#41;'	')'	')'
2	'&#42;'	'*'	'*'
2	'&#43;'	'+'	'+'
1	'&#44537;'	'극'	'geug'
2	'&#44;'	','	','
1	'&#45824;'	'대'	'dae'
2	'&#45;'	'-'	'-'
1	'&#46020;'	'도'	'do'
1	'&#478;'	'Ǟ'	'A'
2	'&#47;'	'/'	'/'
1	'&#48143;'	'및'	'mic'
2	'&#48;'	'0'	'0'
1	'&#49440;'	'선'	'seon'
1	'&#49828;'	'스'	'seu'
1	'&#49884;'	'시'	'si'
1	'&#49;'	1	1
1	'&#505;'	'ǹ'	'n'
1	'&#50808;'	'외'	'oe'
1	'&#50896;'	'원'	'weon'
2	'&#50;'	'2'	'2'
1	'&#51201;'	'적'	'jeog'
1	'&#51204;'	'전'	'jeon'
2	'&#51;'	'3'	'3'
1	'&#52264;'	'차'	'ca'
2	'&#52;'	'4'	'4'
1	'&#53596;'	'템'	'tem'
2	'&#53;'	'5'	'5'
1	'&#54252;'	'포'	'po'
2	'&#54;'	'6'	'6'
2	'&#55;'	'7'	'7'
2	'&#56;'	'8'	'8'
2	'&#57;'	'9'	'9'
2	'&#58;'	':'	':'
2	'&#59450;'	'\ue83a'	''
2	'&#59;'	';'	';'
2	'&#60;'	'<'	'<'
2	'&#61450;'	'\uf00a'	''
2	'&#61479;'	'\uf027'	''
2	'&#61482;'	'\uf02a'	''
2	'&#61498;'	'\uf03a'	''
2	'&#61509;'	'\uf045'	''
2	'&#61511;'	'\uf047'	''
2	'&#61551;'	'\uf06f'	''
2	'&#61553;'	'\uf071'	''
2	'&#61554;'	'\uf072'	''
2	'&#61567;'	'\uf07f'	''
2	'&#61608;'	'\uf0a8'	''
2	'&#61623;'	'\uf0b7'	''
2	'&#61;'	'='	'='
2	'&#62;'	'>'	'&gt;'
2	'&#63;'	'?'	'?'
2	'&#64257;'	'ﬁ'	'fi'
1	'&#64336;'	'ﭐ'	''
2	'&#64979;'	''	''
2	'&#64;'	'@'	'@'
2	'&#65279;'	'\ufeff'	''
2	'&#65288;'	'（'	'('
2	'&#65289;'	'）'	')'
2	'&#65293;'	'－'	'-'
1	'&#65509;'	'￥'	'Y='
1	'&#65533;'	'�'	''
2	'&#65;'	'A'	'A'
2	'&#68;'	'D'	'D'
2	'&#6;'	''	''
2	'&#706;'	'˂'	'&lt;'
1	'&#707;'	'˃'	'&gt;'
2	'&#710;'	'ˆ'	'^'
2	'&#769;'	'́'	''
1	'&#7778;'	'Ṣ'	'S'
1	'&#7846;'	'Ầ'	'A'
1	'&#7872;'	'Ề'	'E'
1	'&#7913;'	'ứ'	'u'
1	'&#7922;'	'Ỳ'	'Y'
1	'&#8057;'	'ό'	'o'
2	'&#8194;'	'\u2002'	' '
2	'&#8195;'	'\u2003'	' '
2	'&#8203;'	'\u200b'	' '
2	'&#8204;'	'\u200c'	' '
2	'&#8206;'	'\u200e'	' '
2	'&#8208;'	'‐'	'-'
2	'&#8209;'	'‑'	'-'
2	'&#8210;'	'‒'	'-'
2	'&#8211;'	'–'	'-'
2	'&#8212;'	'—'	'--'
2	'&#8213;'	'―'	'--'
2	'&#8216;'	'‘'	"'"
2	'&#8217;'	'’'	"'"
2	'&#8218;'	'‚'	','
2	'&#8219;'	'‛'	"'"
2	'&#8220;'	'“'	'"'
2	'&#8221;'	'”'	'"'
2	'&#8222;'	'„'	',,'
2	'&#8223;'	'‟'	'"'
1	'&#8224;'	'†'	'+'
1	'&#8225;'	'‡'	'++'
1	'&#8226;'	'•'	'*'
1	'&#8230;'	'…'	'...'
2	'&#8232;'	'\u2028'	'\n'
2	'&#8234;'	'\u202a'	''
2	'&#8236;'	'\u202c'	''
1	'&#8240;'	'‰'	'%0'
2	'&#8242;'	'′'	"'"
2	'&#8243;'	'″'	"''"
2	'&#8249;'	'‹'	'&lt;'
2	'&#8260;'	'⁄'	'/'
2	'&#8298;'	'\u206a'	'-'
2	'&#8301;'	'\u206d'	"'"
2	'&#8303;'	'\u206f'	"'"
1	'&#8355;'	'₣'	'FF'
1	'&#8356;'	'₤'	'L'
1	'&#8361;'	'₩'	'W'
1	'&#8364;'	'€'	'EUR'
1	'&#8369;'	'₱'	''
2	'&#83;'	'S'	'S'
2	'&#8414;'	'⃞'	''
1	'&#8453;'	'℅'	''
2	'&#8482;'	'™'	'(tm)'
2	'&#84;'	'T'	'T'
1	'&#8531;'	'⅓'	' 1/3 '
1	'&#8532;'	'⅔'	' 2/3 '
1	'&#8539;'	'⅛'	' 1/8 '
1	'&#8540;'	'⅜'	' 3/8 '
1	'&#8541;'	'⅝'	' 5/8 '
1	'&#8542;'	'⅞'	' 7/8 '
1	'&#8594;'	'→'	'-'
1	'&#8595;'	'↓'	'|'
1	'&#8710;'	'∆'	''
1	'&#8721;'	'∑'	''
2	'&#8722;'	'−'	'-'
2	'&#8727;'	'∗'	'*'
1	'&#8729;'	'∙'	''
1	'&#8730;'	'√'	''
1	'&#8734;'	'∞'	''
1	'&#8776;'	'≈'	''
1	'&#8804;'	'≤'	'<='
1	'&#8805;'	'≥'	'>='
1	'&#8806;'	'≦'	'<='
2	'&#894;'	';'	';'
2	'&#8;'	''	''
2	'&#900;'	'΄'	"'"
2	'&#914;'	'Β'	'B'
1	'&#916;'	'Δ'	'D'
2	'&#91;'	'['	'['
1	'&#931;'	'Σ'	'S'
2	'&#93;'	']'	']'
1	'&#945;'	'α'	'a'
1	'&#946;'	'β'	'b'
2	'&#9472;'	'─'	'-'
2	'&#9474;'	'│'	'|'
1	'&#947;'	'γ'	'g'
1	'&#948;'	'δ'	'd'
1	'&#949;'	'ε'	'e'
1	'&#950;'	'ζ'	'z'
2	'&#9552;'	'═'	'='
2	'&#95;'	'_'	'_'
1	'&#9608;'	'█'	'#'
1	'&#9632;'	'■'	'#'
1	'&#9633;'	'□'	'#'
1	'&#9642;'	'▪'	'#'
1	'&#9658;'	'►'	'>'
1	'&#9675;'	'○'	'*'
1	'&#9679;'	'●'	'*'
1	'&#9702;'	'◦'	'*'
1	'&#971;'	'ϋ'	'u'
1	'&#972;'	'ό'	'o'
1	'&#9744;'	'☐'	''
1	'&#9745;'	'☑'	''
1	'&#9830;'	'♦'	''
2	'&#98;'	'b'	'b'
2	'&#9;'	'\t'	'\t'
1	'&#x105;'	'ą'	'a'
1	'&#x107;'	'ć'	'c'
1	'&#x10D;'	'č'	'c'
1	'&#x142;'	'ł'	'l'
1	'&#x15B;'	'ś'	's'
1	'&#x17C;'	'ż'	'z'
2	'&#x2011;'	'‑'	'-'
2	'&#x2013;'	'–'	'-'
2	'&#x2014;'	'—'	'--'
2	'&#x2018;'	'‘'	"'"
2	'&#x2019;'	'’'	"'"
2	'&#x201C;'	'“'	'"'
2	'&#x201D;'	'”'	'"'
1	'&#x2022;'	'•'	'*'
1	'&#x2026;'	'…'	'...'
1	'&#x20AC;'	'€'	'EUR'
2	'&#x2122;'	'™'	'(tm)'
1	'&#x2154;'	'⅔'	' 2/3 '
1	'&#x215B;'	'⅛'	' 1/8 '
1	'&#x2264;'	'≤'	'<='
1	'&#x2265;'	'≥'	'>='
1	'&#x25CF;'	'●'	'*'
1	'&#x25FB;'	'◻'	''
1	'&#x2610;'	'☐'	''
1	'&#x2611;'	'☑'	''
1	'&#x2612;'	'☒'	''
1	'&#x85;'	'…'	'...'
1	'&#x86;'	'†'	'+'
1	'&#x8c;'	'Œ'	'OE'
1	'&#x9e;'	'ž'	'z'
1	'&#x9f;'	'Ÿ'	'Y'
2	'&#xA0;'	'\xa0'	' '
1	'&#xA3;'	'£'	'PS'
1	'&#xA5;'	'¥'	'Y='
1	'&#xA7;'	'§'	'SS'
2	'&#xA8;'	'¨'	'"'
2	'&#xA9;'	'©'	'(c)'
1	'&#xAC;'	'¬'	'!'
2	'&#xAD;'	'\xad'	'-'
2	'&#xAE;'	'®'	'(r)'
1	'&#xB0;'	'°'	'deg'
1	'&#xB7;'	'·'	'*'
1	'&#xBC;'	'¼'	'1/4'
1	'&#xBD;'	'½'	'1/2'
1	'&#xC9;'	'É'	'E'
1	'&#xDF;'	'ß'	'ss'
1	'&#xE0;'	'à'	'a'
1	'&#xE1;'	'á'	'a'
1	'&#xE4;'	'ä'	'a'
1	'&#xE8;'	'è'	'e'
1	'&#xE9;'	'é'	'e'
1	'&#xED;'	'í'	'i'
2	'&#xF020;'	'\uf020'	''
2	'&#xF06F;'	'\uf06f'	''
2	'&#xF0B7;'	'\uf0b7'	''
2	'&#xF0B8;'	'\uf0b8'	''
1	'&#xF3;'	'ó'	'o'
1	'&#xF6;'	'ö'	'o'
1	'&#xF7;'	'÷'	'/'
1	'&#xFC;'	'ü'	'u'
1	'&#xFE;'	'þ'	'th'
2	'&#xa0;'	'\xa0'	' '
1	'&Aacute;'	'Á'	'A'
1	'&Acirc;'	'Â'	'A'
1	'&Agrave;'	'À'	'A'
1	'&Aring;'	'Å'	'A'
1	'&Atilde;'	'Ã'	'A'
1	'&Auml;'	'Ä'	'A'
1	'&Ccedil;'	'Ç'	'C'
1	'&Delta;'	'Δ'	'D'
1	'&Eacute;'	'É'	'E'
1	'&Ecirc;'	'Ê'	'E'
1	'&Egrave;'	'È'	'E'
1	'&Euml;'	'Ë'	'E'
1	'&Iacute;'	'Í'	'I'
1	'&Igrave;'	'Ì'	'I'
1	'&Ntilde;'	'Ñ'	'N'
1	'&Oacute;'	'Ó'	'O'
1	'&Ocirc;'	'Ô'	'O'
1	'&Oslash;'	'Ø'	'O'
1	'&Otilde;'	'Õ'	'O'
1	'&Ouml;'	'Ö'	'O'
1	'&Uacute;'	'Ú'	'U'
1	'&Ucirc;'	'Û'	'U'
1	'&Uuml;'	'Ü'	'U'
1	'&aacute;'	'á'	'a'
1	'&acirc;'	'â'	'a'
2	'&acute;'	'´'	"'"
1	'&aelig;'	'æ'	'ae'
1	'&agrave;'	'à'	'a'
1	'&aring;'	'å'	'a'
1	'&asymp;'	'≈'	''
1	'&atilde;'	'ã'	'a'
1	'&auml;'	'ä'	'a'
2	'&bdquo;'	'„'	',,'
1	'&bull;'	'•'	'*'
1	'&ccedil;'	'ç'	'c'
1	'&cedil;'	'¸'	','
1	'&cent;'	'¢'	'C/'
2	'&copy;'	'©'	'(c)'
1	'&dagger;'	'†'	'+'
1	'&deg;'	'°'	'deg'
1	'&diams;'	'♦'	''
1	'&divide;'	'÷'	'/'
1	'&eacute;'	'é'	'e'
1	'&ecirc;'	'ê'	'e'
1	'&egrave;'	'è'	'e'
2	'&emsp;'	'\u2003'	' '
1	'&eth;'	'ð'	'd'
1	'&euml;'	'ë'	'e'
1	'&euro;'	'€'	'EUR'
1	'&frac12;'	'½'	'1/2'
1	'&frac14;'	'¼'	'1/4'
1	'&frac34;'	'¾'	'3/4'
1	'&ge;'	'≥'	'>='
1	'&half;'	'½'	'1/2'
1	'&hellip;'	'…'	'...'
1	'&iacute;'	'í'	'i'
1	'&icirc;'	'î'	'i'
1	'&iexcl;'	'¡'	'!'
1	'&igrave;'	'ì'	'i'
1	'&iquest;'	'¿'	'?'
1	'&iuml;'	'ï'	'i'
2	'&laquo;'	'«'	'&lt;&lt;'
2	'&ldquo;'	'“'	'"'
1	'&le;'	'≤'	'<='
1	'&lrm;'	'\u200e'	''
2	'&lsaquo;'	'‹'	'&lt;'
2	'&lsquo;'	'‘'	"'"
2	'&mdash;'	'—'	'--'
1	'&middot;'	'·'	'*'
2	'&minus;'	'−'	'-'
2	'&nbsp;'	'\xa0'	' '
2	'&ndash;'	'–'	'-'
1	'&not;'	'¬'	'!'
1	'&ntilde;'	'ñ'	'n'
1	'&oacute;'	'ó'	'o'
1	'&ocirc;'	'ô'	'o'
1	'&ograve;'	'ò'	'o'
1	'&ordf;'	'ª'	'a'
1	'&ordm;'	'º'	'o'
1	'&oslash;'	'ø'	'o'
1	'&otilde;'	'õ'	'o'
1	'&ouml;'	'ö'	'o'
1	'&para;'	'¶'	'P'
1	'&plusmn;'	'±'	'+-'
1	'&pound;'	'£'	'PS'
2	'&quot;'	'"'	'"'
1	'&radic;'	'√'	''
2	'&raquo;'	'»'	'&gt;&gt;'
2	'&rdquo;'	'”'	'"'
2	'&reg;'	'®'	'(r)'
2	'&rsquo;'	'’'	"'"
1	'&sect;'	'§'	'SS'
2	'&shy;'	'\xad'	'-'
1	'&sup1;'	'¹'	1
1	'&sup2;'	'²'	'2'
1	'&sup3;'	'³'	'3'
1	'&szlig;'	'ß'	'ss'
2	'&thinsp;'	'\u2009'	' '
1	'&thorn;'	'þ'	'th'
1	'&times;'	'×'	'x'
2	'&trade;'	'™'	'(tm)'
1	'&uacute;'	'ú'	'u'
1	'&ucirc;'	'û'	'u'
1	'&ugrave;'	'ù'	'u'
2	'&uml;'	'¨'	'"'
1	'&uuml;'	'ü'	'u'
1	'&yacute;'	'ý'	'y'
1	'&yen;'	'¥'	'Y='
1	'&yuml;'	'ÿ'	'y'
